adm0,adm1,adm2,year,pop
GUINEA,BOKE,BOFFA,2025,267000
GUINEA,BOKE,BOKE,2025,612981
GUINEA,BOKE,FRIA,2025,123155
GUINEA,BOKE,GAOUAL,2025,252573
GUINEA,BOKE,KOUNDARA,2025,173907
GUINEA,CONAKRY,CONAKRY,2025,2166253
GUINEA,CONAKRY,DIXINN,2025,23208
GUINEA,CONAKRY,KALOUM,2025,7457
GUINEA,CONAKRY,MATAM,2025,14269
GUINEA,CONAKRY,MATOTO,2025,939400
GUINEA,CONAKRY,RATOMA,2025,1182794
GUINEA,FARANAH,DABOLA,2025,249282
GUINEA,FARANAH,DINGUIRAYE,2025,260677
GUINEA,FARANAH,FARANAH,2025,400042
GUINEA,FARANAH,KISSIDOUGOU,2025,363461
GUINEA,KANKAN,KANKAN,2025,677880
GUINEA,KANKAN,KEROUANE,2025,270861
GUINEA,KANKAN,KOUROUSSA,2025,384486
GUINEA,KANKAN,MANDIANA,2025,490788
GUINEA,KANKAN,SIGUIRI,2025,1128957
GUINEA,KINDIA,COYAH,2025,497055
GUINEA,KINDIA,DUBREKA,2025,658046
GUINEA,KINDIA,FORECARIAH,2025,308939
GUINEA,KINDIA,KINDIA,2025,589126
GUINEA,KINDIA,TELIMELE,2025,354519
GUINEA,LABE,KOUBIA,2025,120443
GUINEA,LABE,LABE,2025,410164
GUINEA,LABE,LELOUMA,2025,206491
GUINEA,LABE,MALI,2025,378023
GUINEA,MAMOU,DALABA,2025,155374
GUINEA,MAMOU,MAMOU,2025,413152
GUINEA,MAMOU,PITA,2025,344034
GUINEA,NZEREKORE,BEYLA,2025,476999
GUINEA,NZEREKORE,GUECKEDOU,2025,306478
GUINEA,NZEREKORE,LOLA,2025,218330
GUINEA,NZEREKORE,MACENTA,2025,326079
GUINEA,NZEREKORE,NZEREKORE,2025,526817
GUINEA,NZEREKORE,YOMOU,2025,121009
